"","Mode","ORegionDAT","DRegionDAT","yw","sanitized_cost","prcp","tavg","tmax","tmin","approx_cost","diesel_price"
"66","R","CA_FRS","IL_CHI",2018 W14,1.91036258209562,0.0637254901960784,65.4285714285714,75.7142857142857,54.7142857142857,1.91036258209562,3.042
"67","R","CA_FRS","IL_CHI",2018 W15,1.96678650332922,0.000943396226415094,63,77.1428571428571,50.2857142857143,1.96678650332922,3.043
"68","R","CA_FRS","IL_CHI",2018 W16,2.07590059436573,0.0419642857142857,60,73.8571428571429,48,2.07590059436573,3.104
"69","R","CA_FRS","IL_CHI",2018 W17,2.09695619402484,0,70.2857142857143,83.4285714285714,56.1428571428571,2.09695619402484,3.133
"70","R","CA_FRS","IL_CHI",2018 W18,2.17018689275225,0,67.7142857142857,81.4285714285714,55.4285714285714,2.17018689275225,3.157
"71","R","CA_FRS","IL_CHI",2018 W19,2.21418501790978,0,72.5714285714286,86.1428571428571,58.5714285714286,2.21418501790978,3.171
"72","R","CA_FRS","IL_CHI",2018 W20,2.26301573878349,0,69,82.1428571428571,56.4285714285714,2.26301573878349,3.239
"73","R","CA_FRS","IL_CHI",2018 W21,2.41937962470518,0.0026,68.4285714285714,81.2857142857143,57.1428571428571,2.41937962470518,3.277
"74","R","CA_FRS","IL_CHI",2018 W22,2.7951057891173,0,77.2857142857143,92.5714285714286,61.5714285714286,2.7951057891173,3.288
"75","R","CA_FRS","IL_CHI",2018 W23,2.66616923162305,0,75.5714285714286,89.7142857142857,60.5714285714286,2.66616923162305,3.285
"76","R","CA_FRS","IL_CHI",2018 W24,2.58786930950355,0,79.1428571428571,93.7142857142857,64.2857142857143,2.58786930950355,3.266
"77","R","CA_FRS","IL_CHI",2018 W25,2.61104548745547,0,82.2857142857143,97.8571428571429,66.7142857142857,2.61104548745547,3.244
"78","R","CA_FRS","IL_CHI",2018 W26,2.55620070314042,0,82.8571428571429,98.4285714285714,67.4285714285714,2.55620070314042,3.216
"79","R","CA_FRS","IL_CHI",2018 W27,2.34348557115839,0,84.4285714285714,99.8571428571429,69.4285714285714,2.34348557115839,3.236
"80","R","CA_FRS","IL_CHI",2018 W28,2.30651744745871,0,88.4285714285714,102.714285714286,74.1428571428571,2.30651744745871,3.243
"81","R","CA_FRS","IL_CHI",2018 W29,2.28857549371085,0,89.4285714285714,104.428571428571,75.2857142857143,2.28857549371085,3.239
"82","R","CA_FRS","IL_CHI",2018 W30,2.19460663158932,0,89.4285714285714,104.142857142857,75.2857142857143,2.19460663158932,3.22
"83","R","CA_FRS","IL_CHI",2018 W31,2.19238842574511,0,87,102.428571428571,72,2.19238842574511,3.226
"84","R","CA_FRS","IL_CHI",2018 W32,2.14468865909271,0,85.4285714285714,102.142857142857,70.5714285714286,2.14468865909271,3.223
"85","R","CA_FRS","IL_CHI",2018 W33,2.09879693519501,0,85.1428571428571,101.428571428571,69.5714285714286,2.09879693519501,3.217
"86","R","CA_FRS","IL_CHI",2018 W34,2.1378339647065,0,79.7142857142857,95.2857142857143,63.8571428571429,2.1378339647065,3.207
"87","R","CA_FRS","IL_CHI",2018 W35,2.15953964188825,0,77,91.1428571428571,63.5714285714286,2.15953964188825,3.226
"88","R","CA_FRS","IL_CHI",2018 W36,2.11842823075587,0,83.1428571428571,98.8571428571429,68.5714285714286,2.11842823075587,3.252
"89","R","CA_FRS","IL_CHI",2018 W37,2.09466325976273,0,74.8571428571429,89,60.5714285714286,2.09466325976273,3.258
"90","R","CA_FRS","IL_CHI",2018 W38,2.13503504000531,0,75.5714285714286,92.1428571428571,60,2.13503504000531,3.268
"91","R","CA_FRS","IL_CHI",2018 W39,2.11532087634401,0,76.4285714285714,91.4285714285714,61.8571428571429,2.11532087634401,3.271
"92","R","CA_FRS","IL_CHI",2018 W40,2.0757198774312,0.0552083333333333,70.5714285714286,81.2857142857143,61.1428571428571,2.0757198774312,3.313
"93","R","CA_FRS","IL_CHI",2018 W41,2.03347102912029,0,68,80.2857142857143,56.2857142857143,2.03347102912029,3.385
"94","R","CA_FRS","IL_CHI",2018 W42,2.01761250789737,0,67.7142857142857,83.1428571428571,53.2857142857143,2.01761250789737,3.394
"95","R","CA_FRS","IL_CHI",2018 W43,2.02469544351648,0,66.5714285714286,81.5714285714286,53,2.02469544351648,3.38
"96","R","CA_FRS","IL_CHI",2018 W44,2.09545620098244,0,63,75.7142857142857,51.7142857142857,2.09545620098244,3.355
"97","R","CA_FRS","IL_CHI",2018 W45,2.21188297059735,0.000208333333333333,58.5714285714286,71.8571428571429,46.4285714285714,2.21188297059735,3.338
"98","R","CA_FRS","IL_CHI",2018 W46,2.04760530466114,0,54.7142857142857,68.8571428571429,40.4285714285714,2.04760530466114,3.317
"99","R","CA_FRS","IL_CHI",2018 W47,2.00706238074745,0.115961538461538,55.5714285714286,66.2857142857143,46.5714285714286,2.00706238074745,3.282
"100","R","CA_FRS","IL_CHI",2018 W48,2.05571018731924,0.268909090909091,53.4285714285714,60.2857142857143,46.8571428571429,2.05571018731924,3.261
"101","R","CA_FRS","IL_CHI",2018 W49,2.01349517324695,0.0256140350877193,51.2857142857143,57.2857142857143,46.4285714285714,2.01349517324695,3.207
"102","R","CA_FRS","IL_CHI",2018 W50,1.94283370875287,0.00725490196078431,49.2857142857143,58.7142857142857,41.7142857142857,1.94283370875287,3.161
"103","R","CA_FRS","IL_CHI",2018 W51,1.94527587165846,0.0567857142857143,52.2857142857143,58,47.2857142857143,1.94527587165846,3.121
"104","R","CA_FRS","IL_CHI",2018 W52,1.95267256783201,0.0324528301886792,46.7142857142857,54.8571428571429,39,1.95267256783201,3.077
"105","R","CA_FRS","IL_CHI",2019 W01,1.89303300699391,0.0783018867924528,44.5714285714286,55.8571428571429,35.8571428571429,1.89303300699391,3.048
"106","R","CA_FRS","IL_CHI",2019 W02,1.73907831094403,0.112105263157895,53.4285714285714,61.7142857142857,48,1.73907831094403,3.013
"107","R","CA_FRS","IL_CHI",2019 W03,1.57726962751149,0.172857142857143,54.2857142857143,62,48.4285714285714,1.57726962751149,2.976
"108","R","CA_FRS","IL_CHI",2019 W04,1.64262454462271,0.0840384615384615,49.8571428571429,60.8571428571429,40,1.64262454462271,2.965
"109","R","CA_FRS","IL_CHI",2019 W05,1.63543982347583,0.13296875,55.5714285714286,63.4285714285714,48.8571428571429,1.63543982347583,2.965
"110","R","CA_FRS","IL_CHI",2019 W06,1.57002504007387,0.2145,46.7142857142857,54.1428571428571,36.7142857142857,1.57002504007387,2.966
"111","R","CA_FRS","IL_CHI",2019 W07,1.47217670781744,0.206451612903226,48.5714285714286,56,41.1428571428571,1.47217670781744,2.966
"112","R","CA_FRS","IL_CHI",2019 W08,1.46562271477696,0.0562962962962963,44.7142857142857,54.4285714285714,36.2857142857143,1.46562271477696,3.006
"113","R","CA_FRS","IL_CHI",2019 W09,1.50143791412109,0.125737704918033,58,66.4285714285714,51.4285714285714,1.50143791412109,3.048
"114","R","CA_FRS","IL_CHI",2019 W10,1.50220959607647,0.100625,53.8571428571429,60.4285714285714,46.5714285714286,1.50220959607647,3.076
