Mode,ORegionDAT,DRegionDAT,yearweek,sanitized_cost
R,CA_FRS,IL_CHI,2020-26,2.089674839915366
R,CA_FRS,IL_CHI,2020-27,2.062370105662917
R,CA_FRS,IL_CHI,2020-28,2.0943054163451578
R,CA_FRS,IL_CHI,2020-29,2.204175226079131
R,CA_FRS,IL_CHI,2020-30,2.2356862988925545
R,CA_FRS,IL_CHI,2020-31,2.1733978198811816
R,CA_FRS,IL_CHI,2020-32,2.1334937415302413
R,CA_FRS,IL_CHI,2020-33,2.107996249966514
R,CA_FRS,IL_CHI,2020-34,2.092221000306749
R,CA_FRS,IL_CHI,2020-35,2.1460605066293734
R,CA_FRS,IL_CHI,2020-36,2.139121450169758
R,CA_FRS,IL_CHI,2020-37,2.115703737761588
R,CA_FRS,IL_CHI,2020-38,2.0645870362716394
R,CA_FRS,IL_CHI,2020-39,2.1522774292192537
R,CA_FRS,IL_CHI,2020-40,2.131431314276761
R,CA_FRS,IL_CHI,2020-41,2.2220236295478153
R,CA_FRS,IL_CHI,2020-42,2.3681821076717657
R,CA_FRS,IL_CHI,2020-43,2.2671568478241433
R,CA_FRS,IL_CHI,2020-44,2.286261642919869
R,CA_FRS,IL_CHI,2020-45,2.379539962227562
R,CA_FRS,IL_CHI,2020-46,2.4579093248045187
R,CA_FRS,IL_CHI,2020-47,2.3326818053132206
R,CA_FRS,IL_CHI,2020-48,2.1971721239308333
R,CA_FRS,IL_CHI,2020-49,2.1609509610901387
R,CA_FRS,IL_CHI,2020-50,2.1055822832054605
R,CA_FRS,IL_CHI,2020-51,2.1250960917290067
R,CA_FRS,IL_CHI,2021-00,2.122387160648858
R,CA_FRS,IL_CHI,2021-01,2.081139768404512
R,CA_FRS,IL_CHI,2021-02,2.0803535261383206
R,CA_FRS,IL_CHI,2021-03,1.950823745402507
R,CA_FRS,IL_CHI,2021-04,2.0021374016451947
R,CA_FRS,IL_CHI,2021-05,1.9757794478160675
R,CA_FRS,IL_CHI,2021-06,1.977317029303462
R,CA_FRS,IL_CHI,2021-07,2.0733382666973044
R,CA_FRS,IL_CHI,2021-08,2.200157233322999
R,CA_FRS,IL_CHI,2021-09,2.3386749685180885
R,CA_FRS,IL_CHI,2021-10,2.5118650383577856
R,CA_FRS,IL_CHI,2021-11,2.4959051256910145
R,CA_FRS,IL_CHI,2021-12,2.546230403439126
R,CA_FRS,IL_CHI,2021-13,2.6255556811872376
R,CA_FRS,IL_CHI,2021-14,2.5714809589353496
R,CA_FRS,IL_CHI,2021-15,2.7088062366834613
R,CA_FRS,IL_CHI,2021-16,2.753331514431573
R,CA_FRS,IL_CHI,2021-17,2.716656792179685
R,CA_FRS,IL_CHI,2021-18,3.045382069927797
R,CA_FRS,IL_CHI,2021-19,2.9565073476759087
R,CA_FRS,IL_CHI,2021-20,3.012632625424021
R,CA_FRS,IL_CHI,2021-21,3.126757903172132
R,CA_FRS,IL_CHI,2021-22,3.1074831809202443
