"","yw","Mode","ORegionDAT","DRegionDAT","approx_cost","sanitized_cost","prcp","tavg","tmax","tmin","diesel_price","deaths","pandemic","volume","new_deaths","tmax_lag_12","tmax_lag_8","tmax_lag_4","tmax_lag_2","prcp_lag_12","prcp_lag_8","prcp_lag_4","prcp_lag_2"
"302","2018 W15","R","CA_FRS","MA_BOS",2.322859558,2.322859558,0.000943396,63,77.14285714,50.28571429,3.043,0,0,0,0,67.9285714275002,67.98214285625,73.678571425,76.428571425,0.0782217184166667,0.113077769875,0.127740834,0.0323344429999999
"303","2018 W16","R","CA_FRS","MA_BOS",2.393609555,2.393609555,0.041964286,60,73.85714286,48,3.104,0,0,0,0,68.9880952375,70.0535714275002,75.9642857125,75.5,0.0788822037499999,0.117857619375,0.0276386852499999,0.0214538410000005
"304","2018 W17","R","CA_FRS","MA_BOS",2.41622657,2.41622657,0,70.28571429,83.42857143,56.14285714,3.133,0,0,0,0,70.1190476183335,73.4464285700001,77.5357142849998,78.6428571449997,0.0788822037499999,0.0813576193750001,0.0266582930000001,0.0209821430000003
"305","2018 W18","R","CA_FRS","MA_BOS",2.392366291,2.392366291,0,67.71428571,81.42857143,55.42857143,3.157,0,0,0,0,70.7261904758331,74.7857142849998,78.9642857149993,82.4285714299986,0.0788822037499999,0.0810326193749999,0.0107269205000002,0
"306","2018 W19","R","CA_FRS","MA_BOS",2.401654525,2.401654525,0,72.57142857,86.14285714,58.57142857,3.171,0,0,0,0,72.3928571425001,77.4464285700001,81.2142857150002,83.7857142850007,0.0788822037499999,0.06911595275,0.0104910715000002,0
"307","2018 W20","R","CA_FRS","MA_BOS",2.625838173,2.625838173,0,69,82.14285714,56.42857143,3.239,0,0,0,0,74.4642857133334,79.6249999987499,83.2857142849998,84.1428571400011,0.07857174625,0.013819342625,0,0
"308","2018 W21","R","CA_FRS","MA_BOS",2.685500158,2.685500158,0.0026,68.42857143,81.28571429,57.14285714,3.277,0,0,0,0,76.5476190466667,80.1428571424999,82.75,81.7142857149993,0.0544550795833333,0.0136541465,0.000649999999999817,0.00129999999999963
"309","2018 W22","R","CA_FRS","MA_BOS",2.939929757,2.939929757,0,77.28571429,92.57142857,61.57142857,3.288,0,0,0,0,78.3690476183335,82.25,85.5357142850007,86.9285714300004,0.0542384129166666,0.00568846025000003,0.000649999999999817,0.00129999999999963
"310","2018 W23","R","CA_FRS","MA_BOS",2.868314752,2.868314752,0,75.57142857,89.71428571,60.57142857,3.285,0,0,0,0,80.4404761891665,83.8214285712497,86.4285714274993,91.1428571399993,0.0462939685,0.00557053574999999,0.000649999999999817,0
"311","2018 W24","R","CA_FRS","MA_BOS",2.7321006,2.7321006,0,79.14285714,93.71428571,64.28571429,3.266,0,0,0,0,82.8571428558331,86.3035714274997,89.3214285699996,91.7142857099989,0.00942956174999991,0.000324999999999909,0.000649999999999817,0
"312","2018 W25","R","CA_FRS","MA_BOS",2.780055231,2.780055231,0,82.28571429,97.85714286,66.71428571,3.244,0,0,0,0,84.5833333324999,88.10714285625,93.4642857125,95.7857142850007,0.00910276433333331,0.000324999999999909,0,0
"313","2018 W26","R","CA_FRS","MA_BOS",2.643259626,2.643259626,0,82.85714286,98.42857143,67.42857143,3.216,0,0,0,0,86.4761904758331,90.23214285625,94.9285714274993,98.1428571449997,0.00379230683333335,0.000324999999999909,0,0
"314","2018 W27","R","CA_FRS","MA_BOS",2.471884791,2.471884791,0,84.42857143,99.85714286,69.42857143,3.236,0,0,0,0,88.3690476191666,91.9464285712497,97.4642857150002,99.1428571449997,0.0037136905,0.000324999999999909,0,0
"315","2018 W28","R","CA_FRS","MA_BOS",2.503529959,2.503529959,0,88.42857143,102.7142857,74.14285714,3.243,0,0,0,0,90.7738095224998,94.5178571412498,99.7142857125,101.28571428,0.000216666666666606,0.000324999999999909,0,0
"316","2018 W29","R","CA_FRS","MA_BOS",2.447075259,2.447075259,0,89.42857143,104.4285714,75.28571429,3.239,0,0,0,0,92.5238095199999,97.4107142799999,101.3571428475,103.57142855,0.000216666666666606,0,0,0
"317","2018 W30","R","CA_FRS","MA_BOS",2.398918851,2.398918851,0,89.42857143,104.1428571,75.28571429,3.22,0,0,0,0,94.4166666591667,98.8571428462496,102.785714265,104.28571425,0.000216666666666606,0,0,0
"318","2018 W31","R","CA_FRS","MA_BOS",2.363320329,2.363320329,0,87,102.4285714,72,3.226,0,0,0,0,95.7738095141667,100.4464285575,103.428571400001,103.285714250002,0.000216666666666606,0,0,0
"319","2018 W32","R","CA_FRS","MA_BOS",2.339598927,NA,0,85.42857143,102.1428571,70.57142857,3.223,0,0,0,0,97.4404761775001,101.49999998125,103.285714250001,102.285714250002,0.000216666666666606,0,0,0
