"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-21","0.00","0.0","0.0",,"91","64",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-22","0.00","0.0","0.0",,"80","61",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-23","0.05","0.0","0.0",,"68","53",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-24","0.00","0.0","0.0",,"77","49",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-25","0.00","0.0","0.0",,"81","53",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-26","0.00","0.0","0.0",,"80","51",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-27","0.00","0.0","0.0",,"81","55",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-28","0.00","0.0","0.0",,"77","52",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-29","0.00","0.0","0.0",,"84","54",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-30","0.00","0.0","0.0",,"87","57",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-31","0.00","0.0","0.0",,"66","52",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-01","0.00","0.0","0.0",,"73","48",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-02","0.00","0.0","0.0",,"80","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-03","0.00","0.0","0.0",,"83","56",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-04","0.00","0.0","0.0",,"77","54",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-05","0.00","0.0","0.0",,"84","53",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-06","0.00","0.0","0.0",,"89","56",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-07","0.00","0.0","0.0",,"87","60",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-08","0.00","0.0","0.0",,"85","59",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-09","0.00","0.0","0.0",,"79","57",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-10","0.00","0.0","0.0",,"83","54",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-11","0.00","0.0","0.0",,"87","53",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-12","0.00","0.0","0.0",,"89","56",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-13","0.00","0.0","0.0",,"91","60",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-14","0.00","0.0","0.0",,"87","61",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-15","0.00","0.0","0.0",,"86","58",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-16","0.00","0.0","0.0",,"89","57",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-17","0.00","0.0","0.0",,"90","59",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-18","0.00","0.0","0.0",,"92","62",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-19","0.00","0.0","0.0",,"89","66",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-04-20","0.00","0.0","0.0",,"90","60",
